project,p_val,median_tumor,median_normal,delta,mean_log2fc,n_tumor,n_normal,significance,var_tumor,var_normal,var_ratio
TCGA-CHOL,5.360186868978701e-8,0.27221142765574696,-1.0369544585205115,1.3091658861762585,1.3335450985544814,35,9,***,0.2402997417589719,0.012064628721753737,19.91770715046434
TCGA-ESCA,4.060772702576411e-6,0.05474476578467563,-1.0748810939928353,1.1296258597775108,1.2973014778570708,184,13,***,0.29030299006102017,0.5171242667021086,0.5613795537238834
TCGA-HNSC,6.347352528394038e-17,0.0572526528316662,-0.8589780138776466,0.9162306667093129,1.1189055023382308,520,44,***,0.4106631310340213,0.297137372530992,1.3820648932041975
TCGA-STAD,3.675294557051204e-15,0.08758363138999163,-0.9401461009434211,1.0277297323334127,0.8872207644816671,412,36,***,0.35823384640816475,0.2002993325868819,1.7884924616649789
TCGA-KIRC,1.5392640158399028e-22,0.19574080472646788,-0.6995175732987753,0.8952583780252432,0.8608425658085737,541,72,***,0.39176294122583943,0.2625268874650372,1.4922774006453476
TCGA-GBM,0.00747234326254333,0.05724657756775464,-0.813267121265515,0.8705136988332697,0.8343645690944459,372,5,**,0.5136815139654989,0.05356829731333295,9.589282089009863
TCGA-CESC,0.03337885822747371,0.06190896706467654,-0.6512739041441657,0.7131828712088423,0.74962700529369,304,3,*,0.3730408911747968,0.03161410992265317,11.799822676883064
TCGA-LIHC,9.26256871943071e-8,-0.030048173215086627,-0.5334350016537031,0.5033868284386165,0.43824894460980096,371,50,***,0.3456955210277522,0.39400808279334254,0.8773818003349685
TCGA-BLCA,0.028126962122620208,-0.031087055322351655,-0.2321879117852071,0.20110085646285544,0.3363592832858401,412,19,*,0.4398019933429929,0.16359641705010192,2.688335119272827
TCGA-KIRP,0.003322031865459184,0.09596874780443951,-0.3856699544461861,0.48163870225062566,0.288474447654015,290,32,**,0.3666597633784653,0.20362287494705508,1.8006806134811826
TCGA-BRCA,7.322063420100426e-7,-0.006367808807788446,-0.2189644736604906,0.21259666485270215,0.28497513939066466,1111,113,***,0.40298111065454856,0.18337545663403992,2.197573863217545
TCGA-COAD,0.06113555102385372,0.003219218858306294,-0.26822640849456775,0.27144562735287403,0.2202885273043524,481,41,NS,0.3425130025587482,0.15099630401027672,2.268353552120302
TCGA-THCA,0.32739062646294476,0.04076443833657536,-0.09337634285476494,0.1341407811913403,0.11610984872963949,505,59,NS,0.4210502462204833,0.21772120350948881,1.9338963749671396
TCGA-PCPG,1,0.014274944240460425,-0.030858706058322066,0.04513365029878249,-0.010135351449360877,179,3,NS,0.41943341028123987,0.09502239319301639,4.414048059484844
TCGA-UCEC,0.31221535372641096,-0.03820085709652846,0.09525240575477058,-0.13345326285129905,-0.03976192193866195,553,35,NS,0.38033042369466646,0.061457805272950014,6.188480405467144
TCGA-PRAD,0.34880578476957613,-0.0012632712411966395,0.04299270689112045,-0.04425597813231709,-0.13236002854659204,501,52,NS,0.4141214966475748,0.4326645567660744,0.9571421790194727
TCGA-LUAD,9.87704325032661e-4,-0.012405736899894278,0.20972220768024175,-0.22212794458013602,-0.21189959527609073,540,59,***,0.3552372220092179,0.049652004673624836,7.15453936541499
TCGA-LUSC,2.5484248310927426e-11,-0.031252845847630426,0.4685745066104053,-0.4998273524580357,-0.5408327455435411,511,51,***,0.334829829763544,0.12502455269221274,2.678112599113495
TCGA-SKCM,0.1427438781358492,-0.0537811391570772,0.9470159423072052,-1.0007970814642824,-1.172171576370374,103,1,NS,0.4486563631711525,NA,NA
